system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCI,GLI,GNDVI,LAI,MSAVI,MSK_CLDPRB,MSK_SNWPRB,NDVI,OSAVI,QA10,QA20,QA60,RECI,SAVI,SCL,SIPI,TCI_B,TCI_G,TCI_R,VARI,VIGREEN,WVP,X,Y,data,date_edit,hora,indice,peso_kg,prec,.geo
20230801T134711_20230801T134818_T21KYT_00000000000000000005,{60=0.023529411764705882},{1365=0.023529411764705882},{4521=0.023529411764705882},{3363=0.023529411764705882},{1545=0.023529411764705882},{1841=0.023529411764705882},{2252=0.023529411764705882},{2614=0.023529411764705882},{3012=0.023529411764705882},{3262=0.023529411764705882},{3496=0.023529411764705882},{3604=0.023529411764705882},{3643=0.023529411764705882},{0.5736419810015678=0.023529411764705882},{0.8989679521998915=0.023529411764705882},{-0.015376387217542453=0.023529411764705882},{0.31009930672662545=0.023529411764705882},{1.9574366872636726=0.023529411764705882},{0.3558024589433444=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.2164231036882394=0.023529411764705882},{0.2164170795524133=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5523978685612789=0.023529411764705882},{0.32460641906584325=0.023529411764705882},{5=0.023529411764705882},{1.5683279742765273=0.023529411764705882},{56=0.023529411764705882},{87=0.023529411764705882},{128=0.023529411764705882},{-0.16130298273155416=0.023529411764705882},{-0.10041534326899584=0.023529411764705882},{1204=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2023-08-01 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000004,{60=0.047058823529411764},{1364=0.047058823529411764},"{4449=0.023529411764705882, 4460=0.023529411764705882}","{3297=0.023529411764705882, 3265=0.023529411764705882}","{1522=0.023529411764705882, 1509=0.023529411764705882}","{1819=0.023529411764705882, 1803=0.023529411764705882}","{2220=0.023529411764705882, 2226=0.023529411764705882}","{2580=0.023529411764705882, 2571=0.023529411764705882}","{2993=0.023529411764705882, 2985=0.023529411764705882}","{3229=0.023529411764705882, 3243=0.023529411764705882}","{3414=0.023529411764705882, 3420=0.023529411764705882}","{3565=0.023529411764705882, 3577=0.023529411764705882}",{3614=0.047058823529411764},"{0.5632745024408562=0.023529411764705882, 0.5446043825066471=0.023529411764705882}","{0.8935108153078204=0.023529411764705882, 0.880153930731171=0.023529411764705882}","{-0.014092140921409214=0.023529411764705882, -0.017572537801389457=0.023529411764705882}","{0.3055926703569383=0.023529411764705882, 0.30879815986198966=0.023529411764705882}","{1.9199271498310178=0.023529411764705882, 1.8523786559090492=0.023529411764705882}","{0.3479456825593843=0.023529411764705882, 0.3508438958397164=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.2127659574468085=0.023529411764705882, 0.21063829787234042=0.023529411764705882}","{0.21063232248730532=0.023529411764705882, 0.21275992170434882=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.5336927223719676=0.023529411764705882, 0.5405405405405406=0.023529411764705882}","{0.31912064533286055=0.023529411764705882, 0.31592943887953195=0.023529411764705882}",{5=0.047058823529411764},"{1.5816666666666668=0.023529411764705882, 1.6035353535353536=0.023529411764705882}","{53=0.023529411764705882, 55=0.023529411764705882}","{84=0.023529411764705882, 82=0.023529411764705882}","{125=0.023529411764705882, 124=0.023529411764705882}","{-0.16785714285714284=0.023529411764705882, -0.15931664680174812=0.023529411764705882}","{-0.09928200049517208=0.023529411764705882, -0.10498883097542815=0.023529411764705882}","{1203=0.023529411764705882, 1198=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2023-08-01 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000006,{60=0.023529411764705882},{1370=0.023529411764705882},{4624=0.023529411764705882},{3456=0.023529411764705882},{1561=0.023529411764705882},{1862=0.023529411764705882},{2302=0.023529411764705882},{2654=0.023529411764705882},{3036=0.023529411764705882},{3285=0.023529411764705882},{3488=0.023529411764705882},{3636=0.023529411764705882},{3613=0.023529411764705882},{0.5300795566282291=0.023529411764705882},{0.8732545649838883=0.023529411764705882},{-0.018320811915117963=0.023529411764705882},{0.3039252336448598=0.023529411764705882},{1.799827835880933=0.023529411764705882},{0.33999076877216794=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20483592400690848=0.023529411764705882},{0.20483026375782362=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5152041702867072=0.023529411764705882},{0.30722735515067784=0.023529411764705882},{5=0.023529411764705882},{1.6247892074198989=0.023529411764705882},{57=0.023529411764705882},{87=0.023529411764705882},{133=0.023529411764705882},{-0.16903572800614675=0.023529411764705882},{-0.10566762728146013=0.023529411764705882},{1212=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2023-08-01 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000001,{60=0.047058823529411764},{1352=0.047058823529411764},{4396=0.047058823529411764},{3211=0.047058823529411764},{1560=0.047058823529411764},{1879=0.047058823529411764},{2250=0.047058823529411764},{2631=0.047058823529411764},{3073=0.047058823529411764},{3307=0.047058823529411764},{3492=0.047058823529411764},{3666=0.047058823529411764},{3645=0.047058823529411764},{0.5866238428112601=0.047058823529411764},{0.8584353379457159=0.047058823529411764},{-0.006871035940803382=0.047058823529411764},{0.30031651461552783=0.047058823529411764},{2.004405063291139=0.047058823529411764},{0.3556372910356913=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.21630094043887146=0.047058823529411764},{0.21629491341237445=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.552=0.047058823529411764},{0.3244231606443187=0.047058823529411764},{5=0.047058823529411764},{1.5555555555555556=0.047058823529411764},{57=0.047058823529411764},{88=0.047058823529411764},{127=0.047058823529411764},{-0.1444141689373297=0.047058823529411764},{-0.08985226447081618=0.047058823529411764},{1242=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2023-08-01 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000002,{60=0.047058823529411764},{1350=0.047058823529411764},{4496=0.047058823529411764},{3358=0.047058823529411764},"{1556=0.03529411764705882, 1526=0.011764705882352941}","{1843=0.011764705882352941, 1846=0.03529411764705882}","{2260=0.011764705882352941, 2294=0.03529411764705882}",{2611=0.047058823529411764},{3047=0.047058823529411764},{3242=0.047058823529411764},"{3456=0.011764705882352941, 3488=0.03529411764705882}",{3601=0.047058823529411764},{3621=0.047058823529411764},"{0.5366116295764537=0.011764705882352941, 0.5346587855991403=0.03529411764705882}","{0.8894907908992415=0.03529411764705882, 0.8752034725990234=0.011764705882352941}","{-0.020949350304958897=0.03529411764705882, -0.013383297644539615=0.011764705882352941}","{0.30783652043494564=0.03529411764705882, 0.304397056048311=0.011764705882352941}","{1.8163954862976892=0.03529411764705882, 1.8234608758076094=0.011764705882352941}","{0.34228424229650045=0.03529411764705882, 0.34603207553846005=0.011764705882352941}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.2065029401591145=0.03529411764705882, 0.2092372288313506=0.011764705882352941}","{0.20649722595016395=0.03529411764705882, 0.20923137210994794=0.011764705882352941}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.5204882301656495=0.03529411764705882, 0.5292035398230088=0.011764705882352941}","{0.309727626459144=0.03529411764705882, 0.3138283914982944=0.011764705882352941}",{5=0.047058823529411764},"{1.6180904522613064=0.03529411764705882, 1.6137123745819397=0.011764705882352941}","{56=0.03529411764705882, 54=0.011764705882352941}","{85=0.011764705882352941, 87=0.03529411764705882}","{132=0.03529411764705882, 128=0.011764705882352941}","{-0.17337461300309598=0.03529411764705882, -0.16181606519208383=0.011764705882352941}","{-0.10821256038647344=0.03529411764705882, -0.10163295149890324=0.011764705882352941}",{1211=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2023-08-01 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000000,{60=0.023529411764705882},{1364=0.023529411764705882},{4466=0.023529411764705882},{3360=0.023529411764705882},{1542=0.023529411764705882},{1849=0.023529411764705882},{2250=0.023529411764705882},{2618=0.023529411764705882},{3015=0.023529411764705882},{3259=0.023529411764705882},{3416=0.023529411764705882},{3595=0.023529411764705882},{3663=0.023529411764705882},{0.5446562032884903=0.023529411764705882},{0.8474851270957273=0.023529411764705882},{-0.012550066755674232=0.023529411764705882},{0.2976258309591643=0.023529411764705882},{1.8525661434977576=0.023529411764705882},{0.34130198844559345=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20578891634309918=0.023529411764705882},{0.20578310531294564=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5182222222222221=0.023529411764705882},{0.3086561369452043=0.023529411764705882},{5=0.023529411764705882},{1.6072041166380788=0.023529411764705882},{58=0.023529411764705882},{87=0.023529411764705882},{128=0.023529411764705882},{-0.15682440359796637=0.023529411764705882},{-0.09782873871676019=0.023529411764705882},{1202=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2023-08-01 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20230801T134711_20230801T134818_T21KYT_00000000000000000003,{60=0.047058823529411764},{1352=0.047058823529411764},{4380=0.047058823529411764},{3197=0.047058823529411764},"{1546=0.023529411764705882, 1530=0.023529411764705882}","{1831=0.023529411764705882, 1834=0.023529411764705882}","{2184=0.023529411764705882, 2182=0.023529411764705882}",{2584=0.047058823529411764},{3007=0.047058823529411764},{3260=0.047058823529411764},"{3452=0.023529411764705882, 3450=0.023529411764705882}",{3626=0.047058823529411764},{3643=0.047058823529411764},"{0.6381048387096774=0.023529411764705882, 0.626232741617357=0.023529411764705882}","{0.8822246455834242=0.023529411764705882, 0.8842162752594211=0.023529411764705882}","{-0.005962059620596206=0.023529411764705882, -0.0091991341991342=0.023529411764705882}","{0.30609156261823683=0.023529411764705882, 0.30657072524143153=0.023529411764705882}","{2.190663306451613=0.023529411764705882, 2.1477100591715974=0.023529411764705882}","{0.3669228564531295=0.023529411764705882, 0.36786898299624227=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.22470713525026625=0.023529411764705882, 0.22541711040113596=0.023529411764705882}","{0.22470075397219816=0.023529411764705882, 0.22541070896105186=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.5820348304307974=0.023529411764705882, 0.5796703296703296=0.023529411764705882}","{0.3370307924394356=0.023529411764705882, 0.33809566066199304=0.023529411764705882}",{5=0.047058823529411764},"{1.503949447077409=0.023529411764705882, 1.5133858267716536=0.023529411764705882}",{56=0.047058823529411764},"{85=0.023529411764705882, 86=0.023529411764705882}","{122=0.023529411764705882, 121=0.023529411764705882}","{-0.14297286350749291=0.023529411764705882, -0.13998390989541432=0.023529411764705882}","{-0.08792029887920298=0.023529411764705882, -0.08665338645418327=0.023529411764705882}",{1204=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2023-08-01 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000005,{66=0.023529411764705882},{1377=0.023529411764705882},{4571=0.023529411764705882},{3464=0.023529411764705882},{1594=0.023529411764705882},{1877=0.023529411764705882},{2318=0.023529411764705882},{2684=0.023529411764705882},{3045=0.023529411764705882},{3308=0.023529411764705882},{3494=0.023529411764705882},{3650=0.023529411764705882},{3706=0.023529411764705882},{0.539647577092511=0.023529411764705882},{0.8614810868407032=0.023529411764705882},{-0.020610487868510306=0.023529411764705882},{0.301061254887358=0.023529411764705882},{1.8344449339207047=0.023529411764705882},{0.33654503685238524=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20233998623537508=0.023529411764705882},{0.20233441612068492=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5073339085418465=0.023529411764705882},{0.30348387096774193=0.023529411764705882},{5=0.023529411764705882},{1.6156462585034013=0.023529411764705882},{60=0.023529411764705882},{89=0.023529411764705882},{134=0.023529411764705882},{-0.1695501730103806=0.023529411764705882},{-0.10512514898688916=0.023529411764705882},{1415=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2023-08-06 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000004,{66=0.047058823529411764},{1368=0.047058823529411764},"{4538=0.023529411764705882, 4497=0.023529411764705882}","{3383=0.023529411764705882, 3379=0.023529411764705882}","{1588=0.023529411764705882, 1592=0.023529411764705882}","{1858=0.023529411764705882, 1857=0.023529411764705882}","{2278=0.023529411764705882, 2284=0.023529411764705882}","{2651=0.023529411764705882, 2653=0.023529411764705882}","{3050=0.023529411764705882, 3071=0.023529411764705882}","{3315=0.023529411764705882, 3319=0.023529411764705882}","{3448=0.023529411764705882, 3494=0.023529411764705882}","{3650=0.023529411764705882, 3664=0.023529411764705882}",{3662=0.047058823529411764},"{0.5550257486172039=0.023529411764705882, 0.582040972621099=0.023529411764705882}","{0.8557588805166847=0.023529411764705882, 0.8815293484114162=0.023529411764705882}","{-0.020569620253164556=0.023529411764705882, -0.02055877701634159=0.023529411764705882}","{0.3059241263315268=0.023529411764705882, 0.2996607614021862=0.023529411764705882}","{1.8900831584970437=0.023529411764705882, 1.9878242389431362=0.023529411764705882}","{0.3375545807011804=0.023529411764705882, 0.34799271697374934=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.2030704815073273=0.023529411764705882, 0.21067221067221067=0.023529411764705882}","{0.21066637099456703=0.023529411764705882, 0.20306481326410986=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.5096322241681261=0.023529411764705882, 0.533801580333626=0.023529411764705882}","{0.3159809441316587=0.023529411764705882, 0.3045791539467946=0.023529411764705882}",{5=0.047058823529411764},"{1.597938144329897=0.023529411764705882, 1.5641447368421053=0.023529411764705882}","{62=0.023529411764705882, 60=0.023529411764705882}","{87=0.023529411764705882, 89=0.023529411764705882}","{130=0.023529411764705882, 131=0.023529411764705882}","{-0.1655524970507275=0.023529411764705882, -0.1667971808927173=0.023529411764705882}","{-0.10284886528247224=0.023529411764705882, -0.10181378476420798=0.023529411764705882}","{1404=0.023529411764705882, 1415=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2023-08-06 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000006,{66=0.023529411764705882},{1387=0.023529411764705882},{4667=0.023529411764705882},{3553=0.023529411764705882},{1632=0.023529411764705882},{1902=0.023529411764705882},{2356=0.023529411764705882},{2712=0.023529411764705882},{3127=0.023529411764705882},{3366=0.023529411764705882},{3590=0.023529411764705882},{3739=0.023529411764705882},{3701=0.023529411764705882},{0.5622380171314015=0.023529411764705882},{0.8874868559411146=0.023529411764705882},{-0.023613963039014373=0.023529411764705882},{0.30735615440640934=0.023529411764705882},{1.9161771459814108=0.023529411764705882},{0.34370117400021627=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20753447695930036=0.023529411764705882},{0.20752889259623017=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5237691001697793=0.023529411764705882},{0.311275540233751=0.023529411764705882},{5=0.023529411764705882},{1.586709886547812=0.023529411764705882},{65=0.023529411764705882},{91=0.023529411764705882},{138=0.023529411764705882},{-0.1728865194211729=0.023529411764705882},{-0.10662282761860029=0.023529411764705882},{1416=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2023-08-06 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000001,{66=0.047058823529411764},{1366=0.047058823529411764},{4467=0.047058823529411764},{3281=0.047058823529411764},{1624=0.047058823529411764},{1908=0.047058823529411764},{2338=0.047058823529411764},{2698=0.047058823529411764},{3128=0.047058823529411764},{3397=0.047058823529411764},{3576=0.047058823529411764},{3729=0.047058823529411764},{3687=0.047058823529411764},{0.5705069124423963=0.047058823529411764},{0.8742138364779874=0.047058823529411764},{-0.018770892260221137=0.047058823529411764},{0.3041575492341357=0.047058823529411764},{1.9460940092165897=0.047058823529411764},{0.3461652216356015=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.20933378424078458=0.047058823529411764},{0.20932812098421416=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.5295124037639007=0.047058823529411764},{0.31397413137205177=0.047058823529411764},{5=0.047058823529411764},{1.5767366720516962=0.047058823529411764},{62=0.047058823529411764},{94=0.047058823529411764},{137=0.047058823529411764},{-0.16399694889397406=0.047058823529411764},{-0.10127178520960904=0.047058823529411764},{1470=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2023-08-06 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000002,{66=0.047058823529411764},{1368=0.047058823529411764},{4569=0.047058823529411764},{3463=0.047058823529411764},"{1598=0.03529411764705882, 1621=0.011764705882352941}","{1908=0.03529411764705882, 1896=0.011764705882352941}","{2346=0.011764705882352941, 2356=0.03529411764705882}",{2690=0.047058823529411764},{3054=0.047058823529411764},{3330=0.047058823529411764},"{3508=0.011764705882352941, 3532=0.03529411764705882}",{3668=0.047058823529411764},{3663=0.047058823529411764},"{0.5352372178719484=0.011764705882352941, 0.5172413793103449=0.03529411764705882}","{0.850210970464135=0.011764705882352941, 0.8511530398322851=0.03529411764705882}","{-0.0225544528934141=0.011764705882352941, -0.01776061776061776=0.03529411764705882}","{0.29829755736491487=0.011764705882352941, 0.2985294117647059=0.03529411764705882}","{1.7533793103448279=0.03529411764705882, 1.8184882542607093=0.011764705882352941}","{0.33292439329807166=0.03529411764705882, 0.33121130125800846=0.011764705882352941}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.1984967543559959=0.011764705882352941, 0.19972826086956522=0.03529411764705882}","{0.19849132924279486=0.011764705882352941, 0.19972283361865167=0.03529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.49531116794543895=0.011764705882352941, 0.4991511035653651=0.03529411764705882}","{0.29771970279272353=0.011764705882352941, 0.2995669525346013=0.03529411764705882}",{5=0.047058823529411764},"{1.6239242685025816=0.011764705882352941, 1.6445578231292517=0.03529411764705882}","{64=0.011764705882352941, 61=0.03529411764705882}","{92=0.011764705882352941, 94=0.03529411764705882}","{137=0.011764705882352941, 138=0.03529411764705882}","{-0.17169019458222054=0.011764705882352941, -0.16804201050262565=0.03529411764705882}","{-0.10608203677510608=0.011764705882352941, -0.1050656660412758=0.03529411764705882}",{1426=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2023-08-06 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000000,{66=0.023529411764705882},{1381=0.023529411764705882},{4576=0.023529411764705882},{3476=0.023529411764705882},{1612=0.023529411764705882},{1880=0.023529411764705882},{2316=0.023529411764705882},{2673=0.023529411764705882},{3076=0.023529411764705882},{3355=0.023529411764705882},{3510=0.023529411764705882},{3666=0.023529411764705882},{3728=0.023529411764705882},{0.5614068083505737=0.023529411764705882},{0.8670212765957446=0.023529411764705882},{-0.021852237252861603=0.023529411764705882},{0.30241187384044527=0.023529411764705882},{1.9131698326123754=0.023529411764705882},{0.34013896802707677=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20494335736354274=0.023529411764705882},{0.20493772913891825=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5155440414507773=0.023529411764705882},{0.3073886552819016=0.023529411764705882},{5=0.023529411764705882},{1.5896147403685092=0.023529411764705882},{64=0.023529411764705882},{89=0.023529411764705882},{134=0.023529411764705882},{-0.16873065015479877=0.023529411764705882},{-0.10390848427073403=0.023529411764705882},{1406=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2023-08-06 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20230806T134709_20230806T135055_T21KYT_00000000000000000003,{66=0.047058823529411764},{1362=0.047058823529411764},{4451=0.047058823529411764},{3282=0.047058823529411764},"{1596=0.023529411764705882, 1601=0.023529411764705882}","{1866=0.023529411764705882, 1861=0.023529411764705882}","{2250=0.023529411764705882, 2256=0.023529411764705882}",{2662=0.047058823529411764},{3072=0.047058823529411764},{3322=0.047058823529411764},"{3480=0.023529411764705882, 3500=0.023529411764705882}",{3699=0.047058823529411764},{3687=0.047058823529411764},"{0.6137754095125321=0.023529411764705882, 0.6182768673972052=0.023529411764705882}","{0.8756698821007503=0.023529411764705882, 0.8699623858140784=0.023529411764705882}","{-0.01703420044896342=0.023529411764705882, -0.015822784810126583=0.023529411764705882}","{0.3031267552892717=0.023529411764705882, 0.30450987700335447=0.023529411764705882}","{2.1189257062430884=0.023529411764705882, 2.1026394316163413=0.023529411764705882}","{0.3553958443371812=0.023529411764705882, 0.3534154435392338=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.21465968586387435=0.023529411764705882, 0.21612230715774844=0.023529411764705882}","{0.21611629975539248=0.023529411764705882, 0.21465369204350315=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.551418439716312=0.023529411764705882, 0.5466666666666666=0.023529411764705882}","{0.3219614344298054=0.023529411764705882, 0.3241553027012942=0.023529411764705882}",{5=0.047058823529411764},"{1.5305466237942122=0.023529411764705882, 1.5276422764227642=0.023529411764705882}",{61=0.047058823529411764},{88=0.047058823529411764},{127=0.047058823529411764},"{-0.1543942992874109=0.023529411764705882, -0.1549800796812749=0.023529411764705882}","{-0.09462417903186572=0.023529411764705882, -0.09461426491994178=0.023529411764705882}",{1412=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2023-08-06 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20230811T134711_20230811T134730_T21KYT_00000000000000000005,{98=0.023529411764705882},{1449=0.023529411764705882},{4635=0.023529411764705882},{3442=0.023529411764705882},{1606=0.023529411764705882},{1924=0.023529411764705882},{2348=0.023529411764705882},{2749=0.023529411764705882},{3141=0.023529411764705882},{3367=0.023529411764705882},{3524=0.023529411764705882},{3704=0.023529411764705882},{3738=0.023529411764705882},{0.5280172413793104=0.023529411764705882},{0.8316008316008316=0.023529411764705882},{-0.013586259933350423=0.023529411764705882},{0.2936857562408223=0.023529411764705882},{1.7923663793103448=0.023529411764705882},{0.33368014504731036=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.20027247956403268=0.023529411764705882},{0.20026702269692925=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.5008517887563884=0.023529411764705882},{0.3003831417624521=0.023529411764705882},{5=0.023529411764705882},{1.630952380952381=0.023529411764705882},{64=0.023529411764705882},{94=0.023529411764705882},{137=0.023529411764705882},{-0.159039759939985=0.023529411764705882},{-0.09925093632958802=0.023529411764705882},{1747=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2023-08-11 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
